Date,Open,High,Low,Close,Volume,Adj Close,Ticker,SMA20,SMA50,EMA12,EMA26,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BB_MID,BB_UPPER,BB_LOWER,RET_DAILY,RET_CUM,VOL21,DRAWDOWN
2022-02-01,150.0,151.70799255371094,147.62750244140625,151.19349670410156,59220000,151.19349670410156,AMZN,,,151.19349670410156,151.19349670410156,,0.0,0.0,0.0,,,,,,,0.0
2022-02-02,155.05050659179688,155.0749969482422,148.86349487304688,150.6125030517578,87330000,150.6125030517578,AMZN,,,151.10411306527945,151.1504601372613,0.0,-0.046347071981841736,-0.009269414396368348,-0.03707765758547339,,,,-0.0038427158906232384,-0.0038427158906232384,,-0.0038427158906232384
2022-02-03,141.7375030517578,144.24749755859375,138.33299255371094,138.8455047607422,225532000,138.8455047607422,AMZN,,,149.21817332611988,150.23898196122286,0.0,-1.0208086351029806,-0.2115772585376908,-0.8092313765652898,,,,-0.0781276325178123,-0.08167012611346258,,-0.0816701261134627
2022-02-04,155.60650634765625,161.1999969482422,150.60800170898438,157.63949584960938,253456000,157.63949584960938,AMZN,,,150.51376140665673,150.78716817517744,51.162507930924235,-0.2734067685207151,-0.2239431605342957,-0.04946360798641941,,,,0.13535901735711864,0.04263410322550576,,0.0
2022-02-07,158.52000427246094,162.6909942626953,157.25,157.9355010986328,102624000,157.9355010986328,AMZN,,,151.6555675131146,151.31667431765564,51.58267086076625,0.3388931954589509,-0.11137588933564638,0.45026908479459726,,,,0.0018777353189827206,0.04459189410590825,,0.0
2022-02-08,156.75050354003906,161.79249572753906,155.55050659179688,161.4134979248047,76040000,161.4134979248047,AMZN,,,153.1567875764515,152.06458717744448,56.33604404339327,1.0922003990070266,0.12933936833288823,0.9628610306741383,,,,0.022021627828944013,0.0675955080310402,,0.0
2022-02-09,162.87350463867188,163.83450317382812,160.25,161.1894989013672,68786000,161.1894989013672,AMZN,,,154.39258931874625,152.7405065644017,55.95502925082931,1.6520827543445478,0.4338880455352202,1.2181947088093277,,,,-0.0013877341505965646,0.06611396928552193,,-0.0013877341505965646
2022-02-10,158.35000610351562,160.7165069580078,157.75,159.0034942626953,68268000,159.0034942626953,AMZN,,,155.10195931012302,153.2044315790901,52.2417082247543,1.897527731032909,0.726615982634758,1.170911748398151,,,,-0.013561706274733853,0.05165564477868112,,-0.014930620382392568
2022-02-11,158.13450622558594,159.0,152.73399353027344,153.2935028076172,77100000,153.2935028076172,AMZN,,,154.8237352328144,153.2110294478699,44.02350225408525,1.6127057849445237,0.9038339430967112,0.7088718418478125,,,,-0.03591110674363196,0.013889526661490903,,-0.050305552023723776
2022-02-14,151.75100708007812,158.44850158691406,151.64999389648438,155.16700744628906,83230000,155.16700744628906,AMZN,,,154.87654634257973,153.35591670701206,46.971151778040436,1.5206296355676727,1.0271930815909036,0.4934365539767691,,,,0.012221683270054351,0.026280963327173,,-0.038698687277228694
2022-02-15,157.60549926757812,158.0070037841797,154.6374969482422,156.510498046875,56440000,156.510498046875,AMZN,,,155.1279235278559,153.58958939885378,49.04336942639211,1.5383341290021235,1.1294212910731476,0.4089128379289759,,,,0.008658352201907249,0.035166865365772404,,-0.030375401939519153
2022-02-16,155.79049682617188,158.83399963378906,154.7344970703125,158.10049438476562,52704000,158.10049438476562,AMZN,,,155.58524212122663,153.92373050892132,51.46084216718027,1.6615116123053042,1.235839355319579,0.4256722569857252,,,,0.010159039538768955,0.04568316648024684,,-0.020524947310059827
2022-02-17,158.14599609375,160.3489990234375,154.5,154.65249633789062,64032000,154.65249633789062,AMZN,,,155.44174276994417,153.97771316291903,46.32797771153792,1.4640296070251395,1.281477405660691,0.1825522013644485,,,,-0.021808901106176726,0.022877965714085402,,-0.041886221870141904
2022-02-18,155.49949645996094,155.49949645996094,150.89300537109375,152.60150146484375,63604000,152.60150146484375,AMZN,,,155.0047825691595,153.8757715556542,43.5456400642304,1.129011013505277,1.2509841272296085,-0.1219731137243314,,,,-0.013261957754408193,0.009312601344870108,,-0.05459268631961656
2022-02-22,150.47850036621094,152.9824981689453,148.48550415039062,150.19749450683594,66128000,150.19749450683594,AMZN,,,154.2651997903405,153.6033065890751,40.47710059214645,0.6618932012654,1.1331659420367668,-0.4712727407713668,,,,-0.015753494788264932,-0.0065875994601464205,,-0.06948615550846793
