date,Open,High,Low,Close,Adj Close,Volume,news_count,news_sentiment,volatility,daily_return,target_up_down,target_volatility
2006-12-05,1.9565000534057615,1.965000033378601,1.9359999895095823,1.9490000009536743,1.9490000009536743,114754000,0.0,0.0,0.029000043869018777,-0.003069075104838559,0,0.046999931335448775
2006-12-06,1.9385000467300413,1.9789999723434448,1.932000041007996,1.9450000524520876,1.9450000524520876,115538000,0.0,0.0,0.046999931335448775,-0.002052308106531231,0,0.05199992656707764
2006-12-07,1.9464999437332156,1.9544999599456787,1.902500033378601,1.906000018119812,1.906000018119812,132430000,0.0,0.0,0.05199992656707764,-0.020051430992563568,1,0.0625
2006-12-08,1.8960000276565552,1.9474999904632568,1.8849999904632568,1.9229999780654907,1.9229999780654907,102794000,0.0,0.0,0.0625,0.008919181418711952,1,0.05349993705749534
2006-12-11,1.9110000133514404,1.9574999809265137,1.9040000438690183,1.934499979019165,1.934499979019165,96972000,0.0,0.0,0.05349993705749534,0.005980239773711871,0,0.03949999809265159
2006-12-12,1.9220000505447388,1.9470000267028809,1.9075000286102293,1.9229999780654907,1.9229999780654907,101664000,0.0,0.0,0.03949999809265159,-0.005944689107469037,1,0.04999995231628418
2006-12-13,1.930500030517578,1.9594999551773071,1.909500002861023,1.924999952316284,1.924999952316284,93556000,0.0,0.0,0.04999995231628418,0.0010400282234039882,1,0.04700005054473877
2006-12-14,1.937000036239624,1.9769999980926516,1.9299999475479128,1.950999975204468,1.950999975204468,125922000,0.0,0.0,0.04700005054473877,0.013506505731025742,1,0.047999978065490945
2006-12-15,1.968999981880188,2.009500026702881,1.96150004863739,2.000499963760376,2.000499963760376,163070000,0.0,0.0,0.047999978065490945,0.025371598762178538,0,0.08900010585784868
2006-12-18,2.009999990463257,2.032000064849853,1.9429999589920044,1.963000059127808,1.963000059127808,129734000,0.0,0.0,0.08900010585784868,-0.0187452663393598,1,0.07449996471405029
2006-12-19,1.9390000104904173,1.9859999418258667,1.9114999771118164,1.9709999561309812,1.9709999561309812,150400000,0.0,0.0,0.07449996471405029,0.004075342212026101,1,0.04550015926361084
2006-12-20,1.971500039100647,2.015000104904175,1.969499945640564,2.000499963760376,2.000499963760376,155686000,0.0,0.0,0.04550015926361084,0.014967026020285878,0,0.03450000286102273
2006-12-21,1.993499994277954,2.0169999599456787,1.982499957084656,1.994500041007996,1.994500041007996,131004000,0.0,0.0,0.03450000286102273,-0.0029992116276281733,1,0.03000009059906006
2006-12-22,1.9989999532699585,2.025500059127808,1.995499968528748,2.01200008392334,2.01200008392334,111702000,0.0,0.0,0.03000009059906006,0.008774150190791419,0,0.035500049591064675
2006-12-26,2.006500005722046,2.006500005722046,1.9709999561309812,1.9900000095367432,1.9900000095367432,89472000,1.0,0.078401951058201,0.035500049591064675,-0.010934430153550112,1,0.033499956130981445
