date,query,count
2025-11-16,Amazon Web Services,53
2025-11-17,Amazon Web Services,174
2025-11-18,Amazon Web Services,199
2025-11-19,Amazon Web Services,119
2025-11-20,Amazon Web Services,94
2025-11-21,Amazon Web Services,54
2025-11-22,Amazon Web Services,7
2025-11-23,Amazon Web Services,0
